Name                Value                Minimum Level      Type                Type Statistic 1    Type Statistic 2    
Caladbolg           216                 3                   WEAPON              84                  TRUE                
Taming-Sword        903                 7                   WEAPON              49                  TRUE                
Crystal-Sword       780                 10                  WEAPON              60                  FALSE               
Excalibur           315                 5                   WEAPON              5                   TRUE                
Ragnarok            147                 1                   WEAPON              18                  TRUE                
Balmung             798                 6                   WEAPON              78                  FALSE               
Heartbreaker        327                 3                   WEAPON              12                  FALSE               
Lionheart           132                 4                   WEAPON              112                 TRUE                
Durandal            1016                8                   WEAPON              56                  FALSE               
Ascalon             876                 6                   WEAPON              30                  FALSE               
Ambitious           50                  10                  WEAPON              100                 TRUE                
Hrunting            72                  2                   WEAPON              22                  FALSE               
Astral-Sword        102                 1                   WEAPON              28                  TRUE                
Apocalypse          118                 1                   WEAPON              19                  TRUE                
Slowstrike          70                  2                   WEAPON              16                  FALSE               
Master-Sword        856                 8                   WEAPON              160                 FALSE               
Rune-Master         675                 9                   WEAPON              126                 TRUE                
Warlock             1152                8                   WEAPON              120                 TRUE                
Arc-Sword           588                 4                   WEAPON              108                 FALSE               
Gilventure          1370                10                  WEAPON              270                 TRUE                
Tri-Steel           432                 6                   WEAPON              78                  FALSE               
Helter-Skelter      348                 3                   WEAPON              48                  TRUE                
Vendetta            630                 5                   WEAPON              100                 FALSE               
Avenger             68                  2                   WEAPON              58                  TRUE                
Prism-Steel         40                  2                   WEAPON              40                  FALSE               
Mirage-Sword        84                  4                   WEAPON              96                  TRUE                
Lifesaver           49                  1                   WEAPON              4                   FALSE               
Sonic-Steel         84                  2                   WEAPON              4                   FALSE               
Vigilante           762                 6                   WEAPON              138                 FALSE               
Dance-Macabre       810                 10                  WEAPON              160                 TRUE                
Largamente          1008                8                   WEAPON              16                  TRUE                
Gravestone          177                 3                   WEAPON              81                  TRUE                
Sidewinder          744                 6                   WEAPON              84                  FALSE               
Nightmare           497                 7                   WEAPON              182                 FALSE               
Mage                139                 1                   WEAPON              25                  TRUE                
Masher              252                 6                   WEAPON              36                  TRUE                
Nightbringer        240                 10                  WEAPON              120                 TRUE                
Knight-Sword        190                 10                  WEAPON              230                 FALSE               
Wizard-Sword        645                 5                   WEAPON              20                  FALSE               
Double-Edge         34                  2                   WEAPON              32                  TRUE                
Endless-Road        120                 1                   ARMOR               20                  BODY                
Genji-Shield        95                  5                   ARMOR               5                   BODY                
Emblem              625                 5                   ARMOR               105                 LEGS                
Crystal-Shield      987                 7                   ARMOR               182                 LEGS                
Aegis-Shield        342                 9                   ARMOR               99                  HEAD                
Golem-Shield        50                  5                   ARMOR               65                  LEGS                
Revive-Shield       328                 8                   ARMOR               128                 HANDS               
Rescue-Shield       29                  1                   ARMOR               1                   BODY                
Paladin-Shield      1030                10                  ARMOR               80                  BODY                
Diamond-Shield      1176                8                   ARMOR               8                   HANDS               
Ruby-Shield         62                  1                   ARMOR               1                   LEGS                
Dynasty-Shield      72                  8                   ARMOR               88                  HANDS               
Magister-Shield     228                 3                   ARMOR               15                  LEGS                
Collector's-Shield  210                 7                   ARMOR               35                  LEGS                
Treasure-Shield     48                  3                   ARMOR               87                  LEGS                
Assault-Shield      43                  1                   ARMOR               12                  LEGS                
Phantom-Shield      70                  1                   ARMOR               19                  LEGS                
Recovery-Shield     1170                9                   ARMOR               117                 HEAD                
Spiritual-Shield    363                 3                   ARMOR               27                  LEGS                
Phoenix-Shield      60                  1                   ARMOR               18                  HANDS               
Curative-Shield     64                  4                   ARMOR               96                  HEAD                
Rainbow-Shield      90                  1                   ARMOR               24                  HEAD                
Shining-Shield      6                   2                   ARMOR               40                  HEAD                
Faerie-Shield       216                 3                   ARMOR               72                  BODY                
Peaceful-Shield     100                 4                   ARMOR               12                  BODY                
Shaman-Shield       560                 5                   ARMOR               145                 HANDS               
Barrier-Shield      1251                9                   ARMOR               144                 BODY                
Star-Shield         363                 3                   ARMOR               51                  LEGS                
Marching-Shield     152                 2                   ARMOR               60                  HANDS               
Moon-Shield         56                  4                   ARMOR               52                  LEGS                
Regen-Shield        74                  2                   ARMOR               14                  HANDS               
Haste-Shield        34                  2                   ARMOR               32                  HANDS               
Reflect-Shield      208                 8                   ARMOR               56                  HEAD                
Protect-Shield      175                 7                   ARMOR               105                 HEAD                
Shell-Shield        470                 10                  ARMOR               230                 HEAD                
Platinum-Shield     32                  1                   ARMOR               3                   HANDS               
Sapphire-Shield     456                 4                   ARMOR               60                  BODY                
Knight's-Shield     1161                9                   ARMOR               63                  LEGS                
Wizard-Shield       219                 3                   ARMOR               78                  HANDS               
Potion              231                 3                   POTION              DEXTERITY           27                  
Hi-Potion           700                 7                   POTION              DEXTERITY           14                  
X-Potion            525                 7                   POTION              HEALTH              63                  
Mega-Potion         6                   1                   POTION              AGILITY             10                  
Ether               12                  4                   POTION              HEALTH              32                  
Turbo-Ether         135                 5                   POTION              HEALTH              25                  
Elixir              146                 2                   POTION              AGILITY             2                   
Megalixir           448                 8                   POTION              DEXTERITY           24                  
Phoenix-Down        120                 4                   POTION              HEALTH              28                  
Mega-Phoenix        92                  1                   POTION              MAGIC               7                   
Antidote            485                 5                   POTION              DEXTERITY           45                  
Echo-Screen         360                 8                   POTION              DEXTERITY           40                  
Eye-Drops           69                  3                   POTION              AGILITY             12                  
Holy-Water          69                  1                   POTION              HEALTH              5                   
Remedy              378                 7                   POTION              HEALTH              42                  
Soft                760                 10                  POTION              MAGIC               50                  
Al-Bhed-Potion      35                  1                   POTION              MAGIC               7                   
Healing-Water       183                 3                   POTION              DEXTERITY           15                  
Tetra-Elemental     435                 5                   POTION              STRENGTH            25                  
Dream-Powder        585                 9                   POTION              MAGIC               9                   
Farplane-Shadow     371                 7                   POTION              HEALTH              42                  
Farplane-Wind       590                 10                  POTION              MAGIC               40                  
Frag-Grenade        612                 9                   POTION              STRENGTH            18                  
Silence-Grenade     420                 6                   POTION              AGILITY             54                  
Sleeping-Powder     792                 8                   POTION              DEXTERITY           24                  
Smoke-Bomb          574                 7                   POTION              DEXTERITY           70                  
Petrify-Grenade     44                  4                   POTION              MAGIC               12                  
Poison-Fang         264                 6                   POTION              DEXTERITY           24                  
Blessed-Gem         756                 9                   POTION              MAGIC               9                   
