Name                Price     Minimum Level       Minimum damage      Maximum damage      Magic     Rounds    Spell Type     Reduce Rate         
Flame               60        2                   4                   14                  16        1         LIGHTING       0.375264            
Torch               890       10                  120                 170                 40        3         ICE            0.19547             
Eruption            230       5                   100                 125                 20        1         ICE            0.255124            
Flare               188       4                   44                  64                  64        4         LIGHTING       0.0668725           
Blaze               405       9                   18                  63                  135       2         FIRE           0.0622401           
Inferno             328       4                   28                  48                  44        4         ICE            0.969278            
Fireball            516       6                   66                  96                  18        4         LIGHTING       0.726884            
Explosion           320       10                  70                  120                 190       2         ICE            0.597107            
Meteor              385       5                   30                  55                  10        2         LIGHTING       0.59222             
Dragon-Fire         35        5                   5                   30                  45        2         ICE            0.874579            
Plasma              360       8                   32                  72                  80        2         ICE            0.897732            
Gust                35        7                   77                  112                 119       2         FIRE           0.372551            
Gale                387       9                   180                 225                 180       1         LIGHTING       0.584301            
Tempest             240       8                   96                  136                 72        2         FIRE           0.213567            
Whirlwhind          920       10                  190                 240                 160       1         LIGHTING       0.410597            
Cyclone             112       8                   16                  56                  152       4         LIGHTING       0.357836            
Vortex              148       2                   26                  36                  32        4         LIGHTING       0.386959            
Daze                72        2                   38                  48                  36        4         ICE            0.823108            
Stun                183       3                   18                  33                  12        2         FIRE           0.383483            
Confuse             525       7                   63                  98                  56        1         ICE            0.0622025           
Light               360       5                   20                  45                  25        4         FIRE           0.327356            
Flash               27        1                   19                  24                  14        3         LIGHTING       0.562416            
Radiance            54        1                   8                   13                  6         4         LIGHTING       0.201994            
Cleanse             6         6                   78                  108                 42        1         ICE            0.583398            
Scour               196       4                   48                  68                  80        2         LIGHTING       0.430325            
Purge               425       5                   45                  70                  55        2         LIGHTING       0.978537            
Wrath               520       10                  70                  120                 50        3         LIGHTING       0.359831            
Retribution         882       9                   27                  72                  90        2         FIRE           0.58162             
Judgment            522       9                   27                  72                  162       4         FIRE           0.925167            
Darkness            21        1                   6                   11                  5         4         ICE            0.382091            
Shade               340       4                   12                  32                  64        4         FIRE           0.219777            
Gloom               104       4                   52                  72                  60        4         LIGHTING       0.0535524           
Decay               120       4                   48                  68                  28        1         FIRE           0.672779            
Fester              360       10                  140                 190                 90        4         LIGHTING       0.968973            
Corrupt             234       6                   72                  102                 18        3         ICE            0.147789            
Spite               56        4                   4                   24                  44        3         ICE            0.664857            
Rancor              249       3                   3                   18                  36        2         ICE            0.262466            
Malice              300       10                  140                 190                 180       1         FIRE           0.367939            
Drain               108       9                   90                  135                 99        4         LIGHTING       0.569275            
Siphon              210       6                   90                  120                 48        3         ICE            0.727692            
Void                180       2                   30                  40                  8         4         ICE            0.76284             
Bolt-Strike         10        1                   16                  21                  19        4         LIGHTING       0.708052            
Freeze-Wave         800       10                  130                 180                 110       1         ICE            0.465569            
Inferno-Blaze       120       5                   50                  75                  90        1         ICE            0.338159            
Endless-Depth       110       10                  80                  130                 200       2         ICE            0.0401019           
Kharmic-Intent      585       9                   81                  126                 54        3         LIGHTING       0.177186            
Whispered-Blade     420       6                   72                  102                 6         1         ICE            0.669644            
